name,kind,loc,place,used,copies,tags,modified,size_kb,path
Swarmalators N,MIDI Effect,Elsewhere on disk,Remote Music,2,2,,2024-03-11,514,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Z Third Party/Dillon Bastan Free Device Bundle/Swarmalators N v1.1.2/Swarmalators N/Swarmalators N.amxd
Swarmalators T,Instrument,Elsewhere on disk,Remote Music,3,3,,2024-08-15,359,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Z Third Party/Swarmalators T.amxd
sweetspace,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,3974,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/sweetspace.amxd
Syntharmonic,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,3218,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Syntharmonic.amxd
Tape Error,Audio Effect,User Library,User Library,2,1,,2026-07-27,18,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Tape Error.amxd
Tape Error Trigger,MIDI Effect,User Library,User Library,2,1,,2026-07-27,4,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/MIDI Effects/Max MIDI Effect/Imported/Tape Error Trigger.amxd
TapeStop 2.0,Audio Effect,User Library,User Library,2,1,,2025-05-23,44,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/TapeStop 2.0.amxd
TapPanZeit-v12,Audio Effect,User Library,User Library,2,1,,2025-10-26,380,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/TapPanZeit-v12.amxd
Tapped Delay,Audio Effect,Pack,The Forge by Hecq,1,1,,2025-05-25,102,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/The Forge by Hecq/Max Audio Effects/Tapped Delay.amxd
The Lot Radio,Audio Effect,User Library,User Library,3,2,,2025-04-12,4,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/The Lot Radio.amxd
The1958Machine,Audio Effect,User Library,User Library,1,1,,2026-07-04,75,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/The1958Machine.amxd
The1958Machine-1,Audio Effect,User Library,User Library,2,1,,2026-07-04,77,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/The1958Machine-1.amxd
Theremouse,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,386,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Theremouse.amxd
Tombola,MIDI Effect,User Library,User Library,2,2,,2025-12-23,134,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/MIDI Effects/Max MIDI Effect/Imported/Tombola.amxd
TransientDesigner,Audio Effect,User Library,User Library,2,1,,2024-02-29,48,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/TransientDesigner.amxd
Tree Tone,Instrument,Pack,Inspired by Nature by Dillon Bastan,32,1,Devices|Resonator,2025-05-25,1438,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Inspired by Nature by Dillon Bastan/Instruments/Tree Tone/Ableton Folder Info/Tree Tone.amxd
Tremolo 1.0,Audio Effect,Elsewhere on disk,Remote Music,1,1,,2025-12-24,4335,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/Tremolo 1.0.amxd
trnr.BitEcho,Audio Effect,User Library,User Library,4,3,,2025-07-04,182,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/trnr.BitEcho.amxd
trnr.DmmG,Audio Effect,User Library,User Library,4,3,,2025-07-04,9596,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/trnr.DmmG.amxd
trnr.Duckling,Audio Effect,User Library,User Library,4,3,,2025-07-04,199,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/trnr.Duckling.amxd
trnr.Flechtwerk,Instrument,User Library,User Library,3,2,,2024-01-27,2379,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/Max Instrument/Imported/trnr.Flechtwerk.amxd
trnr.Hatster,Instrument,User Library,User Library,4,3,,2025-07-04,66,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/Max Instrument/Imported/trnr.Hatster.amxd
trnr.RetroSampler,Instrument,User Library,User Library,3,2,,2024-01-27,1490,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/Max Instrument/Imported/trnr.RetroSampler.amxd
trnr.TriplexClassic,Instrument,User Library,User Library,3,2,,2025-07-04,5605,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/Max Instrument/Imported/trnr.TriplexClassic.amxd
Turing Machine 3.1,MIDI Effect,User Library,User Library,1,1,,2025-12-23,464,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/MIDI Effects/Max MIDI Effect/Imported/Turing Machine 3.1.amxd
Variations,Audio Effect,Pack,Performance Pack by Iftah,2,1,Devices|Performance & DJ,2025-11-20,2973,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Performance Pack by Iftah/Variations/Ableton Folder Info/Variations.amxd
